% Model:              three_layers.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 12 2022, 17:16
% Dimension:          2
% Nodes:              2889
% Expressions:        1
% Description:        表面
% R                       Z                        Color
0.0010224791726226683     2.8037786970102653E-4    5455.335440654457
0.0010309553658246335     3.37661221189126E-4      5051.778239392968
0.0010394315590265988     3.9494457267722546E-4    4650.2401060391585
0.001047907752228564      4.522279241653249E-4     4251.985639604868
9.511441114598034E-4      3.117599165945594E-4     5911.343093150058
9.596203046617687E-4      3.690432680826589E-4     5451.833089122775
9.680964978637339E-4      4.2632661957075834E-4    4999.244164132442
9.765726910656992E-4      4.836099710588578E-4     4562.185736139149
8.798090502969385E-4      3.431419634880923E-4     6260.791352159068
8.882852434989039E-4      4.0042531497619176E-4    5822.891270002558
8.967614367008691E-4      4.5770866646429123E-4    5428.288996424881
8.084739891340738E-4      3.7452401038162524E-4    6662.172138324232
8.169501823360392E-4      4.318073618697247E-4     6317.089486780815
7.37138927971209E-4       4.059060572751581E-4     7220.439268465591
0.0010828620952860852     2.8391068538729516E-4    4832.74992408544
0.001143245017949502      2.874435010735638E-4     4392.827531822904
0.0012036279406129186     2.909763167598324E-4     3971.4902402222415
0.0012640108632763357     2.9450913244610105E-4    3576.7515663181694
0.0010913382884880501     3.411940368753946E-4     4499.272778260033
0.001151721211151467      3.4472685256166325E-4    4054.27692084785
0.001212104133814884      3.482596682479319E-4     3614.250371139921
0.0010998144816900155     3.984773883634941E-4     4165.986576882721
0.0011601974043534324     4.020102040497627E-4     3683.169838583628
0.001108290674891981      4.5576073985159355E-4    3781.567116267945
0.0014949237032712234     9.531165108632755E-5     4775.044992413995
0.001518663887994889      1.4247158284380105E-4    3844.1583435151806
0.0015424040727185547     1.8963151460127454E-4    2948.9767134163103
0.0015661442574422205     2.3679144635874806E-4    2233.038524608497
0.0014561072218187807     1.4346337041518158E-4    4004.3705878992887
0.0014798474065424463     1.906233021726551E-4     3190.0764733823185
0.0015035875912661123     2.377832339301286E-4     2593.5262600693036
0.001417290740366338      1.9161508974403562E-4    3517.5294851453746
0.0014410309250900036     2.387750215015091E-4     3015.1127792416237
0.0013784742589138955     2.3976680907288967E-4    3475.5818815611387
0.00160563313016994       2.947867608502417E-4     1959.4611863643177
0.0015825653367215508     3.537738629131159E-4     1891.3216036239892
0.0015594975432731617     4.1276096497599004E-4    1851.1607965159676
0.0015364297498247728     4.7174806703886423E-4    1840.675969635433
0.0015430764639938316     2.9577854842162226E-4    2271.2569274162774
0.0015200086705454423     3.547656504844964E-4     2235.286086885645
0.0014969408770970534     4.137527525473706E-4     2222.70160128589
0.0014738730836486645     4.727398546102448E-4     2254.3137992464317
0.001480519797817723      2.9677033599300275E-4    2659.634256418722
0.001457452004369334      3.5575743805587695E-4    2654.259438825137
0.0014343842109209451     4.1474454011875114E-4    2636.480585961458
0.0014179631316416147     2.9776212356438325E-4    3084.747227960168
0.0013948953381932258     3.567492256272575E-4     3017.4154534326562
0.0013554064654655064     2.9875391113576386E-4    3396.950129436146
0.0013034997360040549     3.525044469375947E-4     3248.970579349055
0.0013429886087317742     4.1049976142908833E-4    2917.833911653331
0.0013824774814594934     4.68495075920582E-4      2585.10023829307
0.001421966354187213      5.264903904120756E-4     2247.286289305922
0.0012515930065426031     4.062549827394255E-4     3270.3692847603393
0.0012910818792703225     4.6425029723091917E-4    2939.25040047177
0.0013305707519980418     5.222456117224128E-4     2609.4595615977214
0.0011996862770811516     4.6000551854125636E-4    3323.761482348963
0.001239175149808871      5.1800083303275E-4       2999.5216954932657
0.0011477795476197003     5.137560543430872E-4     3408.2851181588603
0.0016598929454462738     3.289491867398127E-4     1784.6138083774822
0.0017141527607226082     3.6311161262938375E-4    1591.0063230462076
0.0017684125759989421     3.9727403851895477E-4    1396.7414676769495
0.001636825151997885      3.879362888026869E-4     1728.6381244143897
0.001691084967274219      4.2209871469225794E-4    1539.0199263184993
0.0016137573585494958     4.4692339086556106E-4    1705.7528733769918
3.030869755418031E-4      4.942393476980033E-4     9541.429241068836
2.9832410751509675E-4     4.383369099272356E-4     11050.026820784818
2.935612394883904E-4      3.8243447215646797E-4    12562.216834084538
2.8879837146168405E-4     3.2653203438570027E-4    14076.75047483106
3.777454095760833E-4      5.161143789111351E-4     8177.308222139589
3.72982541549377E-4       4.602119411403674E-4     9825.657317108684
3.682196735226706E-4      4.043095033695997E-4     11393.921394324452
3.6345680549596427E-4     3.48407065598832E-4      12961.696645816253
