!Trace Data File
!Measurement: Smith Chart
!Data Points: 391
#Freq/Hz  Real  Image
3050000000  -0.217776909  0.267932057  
3060000000  0.230134785  0.289495826  
3070000000  0.395296514  -0.065348096  
3080000000  0.145739973  -0.355925918  
3090000000  -0.245417044  -0.200645402  
3100000000  -0.172951624  0.239014149  
3110000000  0.237402827  0.274162143  
3120000000  0.406992853  -0.052919090  
3130000000  0.185417488  -0.349171251  
3140000000  -0.214975178  -0.228306592  
3150000000  -0.176607728  0.229461908  
3160000000  0.251235783  0.295757145  
3170000000  0.460066378  -0.028339829  
3180000000  0.286080480  -0.368717104  
3190000000  -0.152579695  -0.357131958  
3200000000  -0.266979694  0.139739871  
3210000000  0.189664066  0.343558669  
3220000000  0.499465972  0.041971985  
3230000000  0.420573980  -0.351386756  
3240000000  0.013810301  -0.520392537  
3250000000  -0.375172168  -0.152179837  
3260000000  -0.073739447  0.349130601  
3270000000  0.425359905  0.203831658  
3280000000  0.512780070  -0.230662510  
3290000000  0.215932727  -0.549575865  
3300000000  -0.279984295  -0.458046764  
3310000000  -0.382204682  0.136123016  
3320000000  0.181930423  0.361501962  
3330000000  0.517478764  -0.033938091  
3340000000  0.366049081  -0.468898118  
3350000000  -0.094856679  -0.598240674  
3360000000  -0.487667680  -0.199627221  
3370000000  -0.204825014  0.356989980  
3380000000  0.369499534  0.238256633  
3390000000  0.466057390  -0.261031687  
3400000000  0.102368303  -0.576121569  
3410000000  -0.389496863  -0.402380198  
3420000000  -0.424059331  0.180786759  
3430000000  0.124205761  0.387696207  
3440000000  0.464819163  -0.011504650  
3450000000  0.272581697  -0.449774742  
3460000000  -0.214369103  -0.480918020  
3470000000  -0.453581542  -0.007499806  
3480000000  -0.072901577  0.377469718  
3490000000  0.374966860  0.166513190  
3500000000  0.366169512  -0.278018653  
3510000000  -0.033037808  -0.454528630  
3520000000  -0.356867224  -0.121504433  
3530000000  -0.117069215  0.290331632  
3540000000  0.312263578  0.190969512  
3550000000  0.380977035  -0.197116047  
3560000000  0.069318287  -0.414063096  
3570000000  -0.256911755  -0.178673670  
3580000000  -0.088757336  0.209425822  
3590000000  0.310659140  0.138162166  
3600000000  0.384283364  -0.225184903  
3610000000  0.100454323  -0.448882401  
3620000000  -0.244404614  -0.265950888  
3630000000  -0.150414661  0.153125137  
3640000000  0.281854063  0.148829788  
3650000000  0.409291357  -0.229360402  
3660000000  0.146262363  -0.505768895  
3670000000  -0.246855170  -0.406354278  
3680000000  -0.313818574  0.049498487  
3690000000  0.142495558  0.241270408  
3700000000  0.434493005  -0.123934343  
3710000000  0.247245207  -0.504648566  
3720000000  -0.167840585  -0.547461450  
3730000000  -0.439257115  -0.178326473  
3740000000  -0.162490845  0.263706625  
3750000000  0.352032542  0.100035384  
3760000000  0.353212833  -0.393508106  
3770000000  -0.043468121  -0.600753844  
3780000000  -0.435916930  -0.381979287  
3790000000  -0.452143133  0.114628755  
3800000000  0.052199721  0.348573357  
3810000000  0.427761942  -0.069433123  
3820000000  0.183656469  -0.519361675  
3830000000  -0.288946569  -0.504923701  
3840000000  -0.519994259  -0.084042579  
3850000000  -0.231932357  0.352258176  
3860000000  0.316563517  0.236154094  
3870000000  0.379214466  -0.306519926  
3880000000  -0.063121185  -0.542647660  
3890000000  -0.453240067  -0.263807565  
3900000000  -0.383897454  0.226455972  
3910000000  0.121823639  0.376333207  
3920000000  0.447070807  -0.044529445  
3930000000  0.189433441  -0.470368207  
3940000000  -0.270280749  -0.407211006  
3950000000  -0.399930865  0.035943195  
3960000000  -0.021907778  0.335495889  
3970000000  0.392731220  0.081089050  
3980000000  0.307993412  -0.363553613  
3990000000  -0.097645961  -0.449379593  
4000000000  -0.324280471  -0.112639263  
